"title","year","actors","directors","country","language","description"
"Yogi's First Christmas",1980,NA,"Ray Patterson"," of origin United States",NA,"Yogi and his little pal, Boo Boo, are usually hibernating during the Christmas season, but this year they are awakened when Huckleberry Hound, Snagglepuss, Augie Doggie and Doggie Daddy come to Jellystone Lodge for the holiday. They are joined by Ranger Smith, hotel manager Mr. Dingwell, Otto the chef, and lodge owner Sophie Throckmorton and her spoiled brat of a nephew, Snively. The gang is obsessed with keeping Mrs. Throckmorton happy to keep her from closing down the lodge, which has become unpopular due to activity caused by Herman the Hermit, a grumpy Christmas-hating hermit who just wants to be left alone."
"The Fox and the Hound",1981,"Mickey Rooney Kurt Russell Pearl Bailey Jack Albertson Sandy Duncan Jeanette Nolan Pat Buttram John Fiedler John Mc Intire Dick Bakalyan Paul Winchell Keith Mitchell Corey Feldman","Ted Berman Richard Rich Art Stevens","United States","English","After a young red fox is orphaned, Big Mama the owl, with the help of her friends Dinky the finch and Boomer the woodpecker, arranges for him to be adopted by a kindly farmer named Widow Tweed. Tweed names him Tod, because he reminds her of a toddler. Meanwhile, her neighbor, a hunter named Amos Slade, brings home a young hound puppy named Copper and introduces him to his hunting dog Chief. One day, Tod and Copper meet and become playmates, vowing to remain ""friends forever"". Slade grows frustrated at Copper for constantly wandering off to play, and places him on a leash. While playing with Copper outside his doghouse, Tod awakens Chief. Slade and Chief chase Tod until they are stopped by Tweed. After an argument, Slade threatens to kill Tod if he trespasses on his farm again. Hunting season comes and Slade takes his dogs into the wilderness for the interim. Meanwhile, Big Mama, Dinky, and Boomer attempt to explain to Tod that his friendship with Copper will not continue, as they are natural enemies, but Tod naively refuses to believe them, hoping that he and Copper will remain friends forever."
"The Great Muppet Caper",1981,"Jim Henson Frank Oz Jerry Nelson Richard Hunt Dave Goelz Steve Whitmire Diana Rigg Charles Grodin","Jim Henson","United Kingdom United States","English","Kermit the Frog, Fozzie Bear, and Gonzo the Great are investigative reporters for the Daily Chronicle newspaper. Kermit and Fozzie, specifically, play identical twin reporters, which becomes the source of a running gag—supposedly, nobody can tell they are twins when Fozzie removes his hat. One day, after the trio fail to report on a major jewel robbery, they ask their editor to allow them to travel to London to investigate the robbery and interview the victim, prominent fashion designer Lady Holiday."
"The Little Fox",1981,"Judit Pogány (young Vuk)József Gyabronka (Vuk)Teri Földi (Íny)Gyula Szabó (Kag)","Attila Dargay","Hungary","Hungarian Budget: 7,000,000Gross Revenue: 17,162,193","The film tells the story of a little fox kit, Vic (Vuk in the Hungarian version), who ventures away from his family's den and, upon his return, learns from his uncle Karak that his entire family has been shot and killed by a human hunter. Karak then offers for Vic to stay with him, and Karak continues to raise him."
"The Looney Looney Looney
Bugs Bunny Movie",1981,"Mel Blanc June Foray","Friz Freleng","United States","English",NA
"The Mystery of the Third Planet
Тайна третьей планеты",1981,"Olga Gromova Yuri Andreyev Vladimir Druzhnikov Vladimir Kenigson Vasily Livanov Rina Zelyonaya","Roman Kachanov","Soviet Union","Russian","Captain Zelyonyy (Green), Professor Seleznyov and his daughter Alice Selezneva set out from Earth aboard the starship ""Pegas"" (Pegasus), seeking out new animal species for the Moscow Zoo. On the advice of the archaeologist Gromozeka, they turn to Doctor Verkhovtsev, the director of the Museum of Two Captains, for help. But the doctor behaves suspiciously: he refuses to show them the Captains' diaries and starts spying on the expedition. On the planet Blukthey make some valuable purchases, among them a Chatterer — the bird belonging to the missing captain Kim. A suspicious fat man, Merry Fellow U, tries to steal a bird. Having listened to the speech of the Chatterer, the crew of ""Pegas"" heads for system of the Jellyfish. On the road heroes rescue robots of the planet of Shelezyak from diamond dust, admixed in greasing."
"Revenge of the Mysterons from Mars",NA,"Voices of:Francis Matthews Ed Bishop Liz Morgan Donald Gray","Robert Lynn Ken Turner Brian Burgess"," of origin United Kingdom",NA,"An attempt to survey the Mysterons' planet, Mars, with a space probe is threatened when a scientist attached to the project is killed and duplicated by the Mysterons (""Shadow of Fear"")."
"Swan Lake",1981,NA,"Kimio Yabuki","Japan Soviet Union","Japanese / Russian","The hero, Prince Siegfried, is out riding one day with his friends when he sees a swan with a crown on its head swimming on a lake. One of his friends, Adolf, tries to shoot the swan, but just before his arrow flies, Adolf is turned to stone. Siegfried's other friend accuses the swan of practicing witchcraft, neither of them pondering the presence of a owl just behind them. Siegfried is unable to stop thinking about the swan, and decides to follow it as it swims away from its spot on the lake. Siegfried soon finds himself at a castle."
NA,1979,NA,NA,NA,NA,NA
"Aladdin and the Wonderful Lamp",1982,"Christopher Atkins Kristy Mc Nichol John Carradine June Lockhart","Yoshikatsu Kasai Shinya Takahashi Ardwight Chamberlain","Japan","Japanese English","Aladdin, a street boy discovers the secret summoning a Genie from within an ordinary-looking lamp. A wicked wizard covets the lamp's magical powers and sets about stealing it. Aladdin and his companion, a runaway princess, pit themselves against the wizard's malevolent spells. Good battles evil and white magic combats black before this Persian fable ends."
"Bugs Bunny's 3rd Movie: 1001 Rabbit Tales",1982,"Mel Blanc","Friz Freleng Chuck Jones Robert Mc Kimson","United States","English","Bugs Bunny and Daffy Duck have to sell books for Rambling House. They go their separate ways and experience many wacky things. For instance, while flying through a winter storm, Daffy ran into a house owned by Porky Pig and briefly stayed there while taking place of a stuffed duck which he merely destroyed. Meanwhile, Bugs burrowed his way to a jungle where he pretended to be a baby ape to an ape couple. One half of the couple wanted to do Bugs in, but manages to divert him after he accidentally dropped a boulder on his wife's head."
"The Flight of Dragons",1982,"John Ritter Bob Mc Fadden Don Messick James Earl Jones","Arthur Rankin, Jr.Jules Bass","United States Japan","English","In an age of medieval fantasy populated by fantastic creatures, the Green Wizard Carolinus, who presides over nature, notices that magic is fading from the world as humanity embraces logic and science instead. Summoning his three magical brothers, he proposes combining their powers to create a ""last realm of magic"" hidden from the rest of the world. The Blue Wizard Solarius, who commands the heavens and seas, and the Yellow Wizard Lo Tae Zhao, whose realm is light and air, agree to the proposal. However, the Red Wizard Ommadon, master of black magic and the forces of evil, resolves instead to infect mankind with fear and greed, causing humans to use their science to destroy themselves."
"Friend or Foe",1982,"John Bardon Stacey Tendeter John Holmes","John Krish","United Kingdom","English","Two young boys, played by John Holmes and Mark Luxford, arrive from London to the countryside by train: they are evacuees from the Blitz. Arriving in an unfamiliar village, they are taken in by a kindly dairy farmer, and soon become familiar with country life. Between lending a hand on the farm and attending the one-room village school, they spend their days exploring the fields and woods of the area, and thoroughly enjoying themselves. Then one night, there is a bombing raid near the village and the boys witness a German bomber come down. They try to tell the locals, but a search finds no evidence of a downed plane, and the boys are in trouble for wasting the police and the armed services’ time (the plane had actually come down in the local pond and sunk out of sight)."
"Heidi's Song",1982,"Lorne Greene Sammy Davis Jr.Margery Gray","Robert Taylor","United States","English","An orphaned girl named Heidi is sent to live with her paternal grandfather by her maternal Aunt Dete, who has been looking after Heidi since she was a baby. Heidi's grandfather initially dislikes having Heidi around because she interferes in his routine. But when grandfather hurts his leg, Heidi helps nurse him back to health, and during this time the two bond together. Heidi meets the local goatherd, a boy named Peter, and often goes with him and the village's goats on their daily grazing trips higher up the Swiss mountain."
"The Last Unicorn",1982,"Alan Arkin Jeff Bridges Mia Farrow Tammy Grimes Robert Klein Angela Lansbury Christopher Lee Keenan Wynn Paul Frees René Auberjonois","Arthur Rankin Jr.Jules Bass","United States[2][full citation needed]","English","In an enchanted forest, a talking unicorn learns she is the very last of her kind. A butterfly reveals that a monstrous animal called the Red Bull herded her kind to the ends of the earth. Venturing into unfamiliar territory beyond the safety of her home, the Unicorn journeys to find them and bring them all back."
"Mighty Mouse in the Great Space Chase",1982,"Alan Oppenheimer Diane Pershing","Ed Friedman Lou Kachivas Marsh Lamore Gwen Wetzler Kay Wright Lou Zukor","United States","English",NA
